year_label,mean_fd2wmv,gdp_growth,mean_fdall_mv,mean_fdbus,mean_fdcar,mean_fdhgv,mean_fdlgv,mean_fdpc
2011,-0.5973627934792357,-0.06785143231248478,-0.20112559820681325,-0.10438272643177135,-0.17782351907766816,-0.6206726887532142,0.07322122151873384,0.9014970427239928
2005,0.8242527802383514,0.7623307983343879,0.6300555140873805,0.2585498555278219,0.721648300731362,1.1620639739959284,-0.48076567807202325,-1.2374023208189233
2015,-0.9589030123189514,0.3472396830109515,0.21409977965700075,-0.37764851103364,-0.07954418898890595,-0.14504978094195725,1.8084936197968435,1.1962440905238683
2003,1.8754896030470374,0.8661035771652469,0.47088564411938194,1.3008348775826766,0.6865412150848524,0.7911937966574915,-1.2633158463084282,-0.8679181827937094
2007,1.042948856880558,0.39912607242638104,0.9513214297452716,0.7335008214378198,0.7869418027869252,1.2212513201056474,0.9381970323065363,-0.8595149130452564
2013,-1.045249065538883,0.2434669041800925,-0.26124332164300623,-0.016847385950887955,-0.3307700242406147,-0.7171970549568317,0.5480780260762179,0.3821432960420519
2009,0.243611901512831,-3.025375628991969,0.26968707224247046,0.00540151897542285,0.3670638150985192,-0.45351092793678455,-0.01057768011880498,0.5773589062089354
2004,1.0023356182425593,0.39912607242638104,0.729446519739716,0.2052637943354734,0.8942930728562287,1.3490602924511608,-0.8325749350291634,-1.6104879357689779
2010,-0.4023230832409293,0.03592134651837429,-0.09893689869341166,0.3120526526431317,-0.047192420134063086,-0.2542679530585352,-0.1860178004259008,0.6076121966414588
2006,1.0339098065549928,0.45101246184181065,0.8568622704568283,0.9868735361332462,0.8509867693504337,1.1107750308088733,0.1410018297073284,0.9072877972052199
2014,-0.909369873238763,0.7623307983343879,-0.09214229775145848,-0.4158481612719854,-0.28157571444324886,-0.5771150580092859,1.2178052053682307,0.902185418794403
2012,-1.0597368371109492,-0.06785143231248478,-0.3295062486641815,0.15193500416383146,-0.3254151587200855,-0.7829392346927485,0.15841209806471723,0.6110714369521972
2008,-1.0496039015486291,-1.1055792206210755,-3.1394038650892333,-3.039685276111142,-3.065153950303745,-2.0835917156697583,-2.1119570928842633,-1.5100768326652572
